"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tnfaip8l11",3.90474637827286e-05,0.139561584729485,0.147,0.064,0.662127843363729,"4","Tnfaip8l1"
"Slc25a231",3.96214620874021e-05,0.204700005204642,0.321,0.198,0.671861132616077,"4","Slc25a23"
"Vps28",4.02720912968585e-05,0.215246053806249,0.908,0.831,0.682893852120829,"4","Vps28"
"Rgs121",4.02747365074311e-05,0.35078811147757,0.603,0.475,0.68293870695651,"4","Rgs12"
"Mtmr71",4.07940741201503e-05,0.106799326347939,0.082,0.026,0.691745114855389,"4","Mtmr7"
"Arpp191",4.07990107627805e-05,0.196206721875457,1,0.999,0.691828825504468,"4","Arpp19"
"Nap1l2",4.12725608893669e-05,0.0958817373446991,0.109,0.041,0.699858815000995,"4","Nap1l2"
"Ndufb42",4.24719458582536e-05,0.230733292611062,1,0.999,0.720196785918407,"4","Ndufb4"
"Spry2",4.25579827689632e-05,0.327595401648383,0.38,0.253,0.721655713813309,"4","Spry2"
"Vps13a1",4.30452093926896e-05,0.218044174418383,0.864,0.782,0.729917615671838,"4","Vps13a"
"Rida",4.39291650711631e-05,0.226811793357463,0.391,0.26,0.744906852111713,"4","Rida"
"Pak4",4.57819817029576e-05,0.258746586861196,0.402,0.267,0.776325063737052,"4","Pak4"
"Ndufa61",4.69660678903212e-05,0.205335474576908,0.984,0.986,0.796403613216176,"4","Ndufa6"
"Myo6",4.79513580966574e-05,0.32316480738341,0.5,0.37,0.81311117924502,"4","Myo6"
"Rusc1",4.80492995868435e-05,0.24231429700442,0.315,0.195,0.814771973094106,"4","Rusc1"
"Skida1",4.86630152715888e-05,0.141164901037308,0.114,0.045,0.825178749960331,"4","Skida1"
"Plgrkt1",5.17224442202619e-05,0.271403106320596,0.853,0.789,0.877057486642981,"4","Plgrkt"
"Kdm4c",5.20361932274285e-05,0.263220770131431,0.462,0.33,0.882377728557505,"4","Kdm4c"
"Tlx21",5.28210663315579e-05,0.159270127021085,0.082,0.027,0.895686821784227,"4","Tlx2"
"Crybg3",5.38919268833598e-05,0.342636733946839,0.533,0.397,0.913845404161132,"4","Crybg3"
"Rnase11",5.43790855057986e-05,0.093941421102007,0.082,0.027,0.922106152921827,"4","Rnase1"
"Areg1",5.46508577913222e-05,0.285819932979543,0.13,0.056,0.926714595567451,"4","Areg"
"Eno11",5.54874824361228e-05,0.172861389319013,1,0.998,0.940901239669335,"4","Eno1"
"Dera",5.56613300341887e-05,0.30360205230295,0.679,0.58,0.943849173389738,"4","Dera"
"Arhgef1",5.60231784553006e-05,0.260935875760959,0.685,0.56,0.949985037066532,"4","Arhgef1"
"Hsp90ab11",5.67579810924797e-05,0.151308494034992,1,1,0.962445085385178,"4","Hsp90ab1"
"Samd121",5.96748904487683e-05,0.188676333402346,0.196,0.101,1,"4","Samd12"
"Carnmt12",6.03663620752643e-05,0.241627175655111,0.989,0.978,1,"4","Carnmt1"
"Cbarp",6.09829074346097e-05,0.121593019460069,0.152,0.069,1,"4","Cbarp"
"Arntl2",6.11919454251254e-05,0.0782301741511679,0.082,0.027,1,"4","Arntl2"
"Ccng12",6.138398411408e-05,0.239714812792828,0.962,0.933,1,"4","Ccng1"
"1700088E04Rik",6.22436936636882e-05,0.0757449107615732,0.082,0.027,1,"4","1700088E04Rik"
"Dnajb6",6.27672835279838e-05,0.208008628911228,1,0.992,1,"4","Dnajb6"
"BC0311811",6.31949534467912e-05,0.230995485218764,0.94,0.92,1,"4","BC031181"
"Mgat4c",6.39499417410856e-05,0.547531896787863,0.027,0.004,1,"4","Mgat4c"
"Ddx25",6.41240036070164e-05,0.0649240371875385,0.06,0.016,1,"4","Ddx25"
"Ppa2",6.44155385775449e-05,0.256041280115932,0.734,0.654,1,"4","Ppa2"
"Smim24",6.5446797344961e-05,0.0510785678912009,0.049,0.011,1,"4","Smim24"
"Cebpzos",6.66165021479958e-05,0.252272027462569,0.745,0.654,1,"4","Cebpzos"
"Cited4",6.81734008578607e-05,0.040330333900818,0.027,0.004,1,"4","Cited4"
"Tubb4a1",6.81874113720776e-05,0.144055854822384,0.196,0.098,1,"4","Tubb4a"
"Upk1a",6.82664898482139e-05,0.0511927541477273,0.038,0.007,1,"4","Upk1a"
"1700023F06Rik",6.85113623844698e-05,0.0569929921547762,0.038,0.007,1,"4","1700023F06Rik"
"Nmnat21",6.87317010098375e-05,0.245379363123367,0.326,0.206,1,"4","Nmnat2"
"Gm3839",6.91115236203488e-05,0.032717149790943,0.027,0.004,1,"4","Gm3839"
"Hspa1b",7.01082335878437e-05,0.173056051131671,0.19,0.097,1,"4","Hspa1b"
"Gm29630",7.05588337949368e-05,0.0428116834697402,0.038,0.007,1,"4","Gm29630"
"Igf2bp21",7.06731067789174e-05,0.218284024408807,0.62,0.451,1,"4","Igf2bp2"
"Spock21",7.09355538900983e-05,0.191217201356599,0.12,0.05,1,"4","Spock2"
"Amdhd2",7.09549353219377e-05,0.292071291558772,0.473,0.344,1,"4","Amdhd2"
"Cntfr",7.12856173117917e-05,0.0573990967036553,0.054,0.014,1,"4","Cntfr"
"Pdcd21",7.14743359463483e-05,0.204892138253676,0.793,0.67,1,"4","Pdcd2"
"Tmsb15b11",7.15310817968495e-05,0.150308774755249,0.152,0.07,1,"4","Tmsb15b1"
"Pik3cb1",7.3327907590375e-05,0.249229870399018,0.391,0.262,1,"4","Pik3cb"
"As3mt",7.34794292904177e-05,0.254058459741917,0.337,0.22,1,"4","As3mt"
"Uqcrb1",7.43581281501905e-05,0.146758675265644,1,1,1,"4","Uqcrb"
"Deptor1",7.45893507503762e-05,0.236802960729103,0.337,0.218,1,"4","Deptor"
"Eef1a21",7.60554827561873e-05,0.122894688982419,0.065,0.019,1,"4","Eef1a2"
"Ebpl1",7.6114180109821e-05,0.341697237070492,0.625,0.54,1,"4","Ebpl"
"Eipr1",7.6428245331428e-05,0.22583706182751,0.457,0.326,1,"4","Eipr1"
"Slc2a31",7.65671091962675e-05,0.827827045659661,0.332,0.23,1,"4","Slc2a3"
"Ttc12",7.68257951826415e-05,0.169244437181652,0.196,0.102,1,"4","Ttc12"
"Syt8",7.80833505078815e-05,0.199245575112534,0.071,0.022,1,"4","Syt8"
"Tctn2",7.90330329325108e-05,0.151311098048832,0.158,0.075,1,"4","Tctn2"
"Rab3d1",7.99950946278263e-05,0.217253524263296,0.283,0.171,1,"4","Rab3d"
"Alox8",8.04627372774122e-05,0.057839892702072,0.033,0.005,1,"4","Alox8"
"Trerf1",8.14779716068467e-05,0.204457001757876,0.467,0.328,1,"4","Trerf1"
"Dnah8",8.15543917860074e-05,0.0377821524184174,0.033,0.005,1,"4","Dnah8"
"Msto1",8.20143097361698e-05,0.267548980031365,0.641,0.538,1,"4","Msto1"
"Frg1",8.29978009905881e-05,0.202152477246293,0.902,0.841,1,"4","Frg1"
"2510002D24Rik1",8.32791979578929e-05,0.251409429505099,0.533,0.405,1,"4","2510002D24Rik"
"Lancl3",8.49429308409917e-05,0.131626431129261,0.103,0.04,1,"4","Lancl3"
"Acbd4",8.88665402972246e-05,0.254853945371481,0.342,0.228,1,"4","Acbd4"
"Wdr451",8.94756072522335e-05,0.312918872881392,0.484,0.357,1,"4","Wdr45"
"L2hgdh1",9.09041812926702e-05,0.356346536197263,0.527,0.405,1,"4","L2hgdh"
"Tcp11l2",9.11255695002404e-05,0.135959330378558,0.168,0.082,1,"4","Tcp11l2"
"Fam83g",9.15207950341806e-05,0.0932323374904143,0.06,0.017,1,"4","Fam83g"
"Epn2",9.36913174160538e-05,0.301082173044534,0.587,0.497,1,"4","Epn2"
"Gstm11",9.41257776210516e-05,0.358289249688792,0.5,0.39,1,"4","Gstm1"
"Fcor",9.44668296778936e-05,0.115717001478665,0.152,0.07,1,"4","Fcor"
"5033406O09Rik",9.50983436526711e-05,0.0787327677952995,0.06,0.017,1,"4","5033406O09Rik"
"Zfp961",9.65439566512993e-05,0.2594286555349,0.418,0.295,1,"4","Zfp961"
"Pcdh171",9.71962719713375e-05,0.135185559890238,0.109,0.043,1,"4","Pcdh17"
"Sh2d5",9.76249887412266e-05,0.064085991830898,0.06,0.017,1,"4","Sh2d5"
"H2afj2",9.85195338996997e-05,0.26811628960767,1,0.999,1,"4","H2afj"
"Ndufa131",0.000100690727953183,0.231028892789456,1,0.996,1,"4","Ndufa13"
"Tlcd1",0.000100818209789205,0.29577368973148,0.462,0.344,1,"4","Tlcd1"
"Begain",0.000102700528590803,0.105762297913443,0.125,0.053,1,"4","Begain"
"Mt11",0.000103354745195358,0.694763295384631,0.989,0.978,1,"4","Mt1"
"Arpc1a",0.000104337730716874,0.247572307748684,0.967,0.964,1,"4","Arpc1a"
"Echdc21",0.000104700948410371,0.335798093971823,0.609,0.488,1,"4","Echdc2"
"Sdcbp2",0.000104924687968172,0.0806733500794966,0.049,0.012,1,"4","Sdcbp2"
"Cd801",0.000110331735172343,0.133156384654761,0.125,0.053,1,"4","Cd80"
"Fcho2",0.000111638397373777,0.310970657671362,0.674,0.583,1,"4","Fcho2"
"Gtf3c6",0.000112681423288944,0.204534766907917,0.913,0.851,1,"4","Gtf3c6"
"Fars2",0.000112703495546148,0.265280874920385,0.565,0.45,1,"4","Fars2"
"Prdx22",0.00011734587198869,0.17122066590037,1,1,1,"4","Prdx2"
"Rps51",0.000117566715220252,0.100296781155994,1,1,1,"4","Rps5"
"Afg1l",0.000119123461554489,0.0989086268723803,0.136,0.06,1,"4","Afg1l"
"B4galnt42",0.000119264889850778,0.125164127379064,0.19,0.098,1,"4","B4galnt4"
"Arhgap8",0.00011979920833164,0.101111256738232,0.098,0.037,1,"4","Arhgap8"
