"logFC","AveExpr","t","P.Value","adj.P.Val","B","ID_REF","SYMBOL","Probe_ID"
-4.6560985366023,7.8794530630189,-64.6423108384905,7.73167102978199e-10,9.45617268472279e-06,12.0250639447871,"ILMN_2658130","Hkdc1",2260577
6.67891940817371,10.5022132571317,62.205933116129,9.75617506806582e-10,9.45617268472279e-06,11.9207493575438,"ILMN_1228497","Esrrb",7150017
-5.12905765949168,8.02198479128148,-50.1820486588017,3.57904336006124e-09,1.77916476204728e-05,11.2447216300244,"ILMN_2961216","Slco2a1",7040100
-4.87084607769752,8.01072179597948,-49.9715355474133,3.67121952447208e-09,1.77916476204728e-05,11.2298907982354,"ILMN_2747986","Sox17",3460189
4.24149266888968,8.99158243134812,46.9508739246386,5.35283712269379e-09,2.07529495246838e-05,11.0026709143102,"ILMN_1253304","Stmn2",3870095
7.89891445157945,11.848576973237,40.8481782410605,1.24201016241702e-08,3.21167649111626e-05,10.446797543441,"ILMN_3090545","Dppa5a",7150711
3.16473272455893,8.31090585163799,40.7293567829548,1.26406569924919e-08,3.21167649111626e-05,10.4344660944122,"ILMN_1230599","Adam23",3940286
-2.97945034248996,6.92603182439066,-39.7244441841191,1.47001638337044e-08,3.21167649111626e-05,10.3275573091503,"ILMN_1242418","Ptk6",840541
5.68209212068458,10.0175726532711,39.2772524080453,1.57407274027015e-08,3.21167649111626e-05,10.2784326421354,"ILMN_2666018","Mgp",7400725
-3.46973716889832,7.27064912462056,-38.945674098233,1.65678436477496e-08,3.21167649111626e-05,10.2413713365522,"ILMN_2753792","Stra6",1300475
5.86073172936522,10.5096525510294,37.0553701205024,2.23752117445041e-08,3.9431225424292e-05,10.0191894793556,"ILMN_2593476","Dppa4",5720326
4.68345639207104,9.43008875243391,34.9989915574768,3.15833006722565e-08,5.10201902943077e-05,9.7546132540932,"ILMN_2706269","Hspb1",5670722
4.25913513948366,8.860099320634,34.3466580905652,3.53809989083551e-08,5.19328689329872e-05,9.66523769142149,"ILMN_3152061","Rbmxl2",5910400
2.32983889042074,7.67894316743781,34.0162207374872,3.75063278339861e-08,5.19328689329872e-05,9.6189020467811,"ILMN_2622190","Pnma2",7040386
3.01195314217411,8.55600955354941,32.5384974765652,4.90306511052352e-08,5.88442686484971e-05,9.40249346197925,"ILMN_2829262","Ltbp4",5420747
-5.92680954831964,8.27087909662344,-32.3962079283753,5.03439372936984e-08,5.88442686484971e-05,9.38082989116304,"ILMN_1257724","Adamts9",380554
-4.83662791540324,7.95874613829081,-32.2503937614268,5.17324385840451e-08,5.88442686484971e-05,9.35847364410568,"ILMN_2695199","St3gal6",4150670
3.30452316066587,8.56543470438581,31.7387626564136,5.69697609750631e-08,5.88442686484971e-05,9.27875957782362,"ILMN_2759365","Angptl4",1710215
-2.2125685432038,7.18902615321081,-31.6740168386747,5.76755792788984e-08,5.88442686484971e-05,9.26852879300456,"ILMN_2502471","Tent5a",6480554
-2.04496332221303,8.73021418642527,-31.0595782923859,6.49061115449246e-08,6.29102486149181e-05,9.16979680388986,"ILMN_2424299","Tnfrsf12a",1770541
2.94043419965394,8.12811326813383,30.6569566123169,7.0217257222282e-08,6.4817215773997e-05,9.10345217228131,"ILMN_2844838","Eras",2320497
-3.04189576279964,7.46777154202639,-30.3662135899343,7.43682119047973e-08,6.55285358079316e-05,9.05470822132895,"ILMN_1234199","Cobll1",1940154
4.20837537772003,9.16084048699427,30.0361054403067,7.94320650042702e-08,6.69474165264251e-05,8.99849671540786,"ILMN_2440242","Zic3",5260546
5.77962435220371,10.0670833667386,29.6930247611471,8.51255280306282e-08,6.87565983697386e-05,8.93907730770667,"ILMN_1252910","Pou5f1",7650296
-4.54172454176743,7.79403040149194,-29.2803903093655,9.26140140879586e-08,7.18129065238031e-05,8.86623014623061,"ILMN_2629335","Nxf7",1190753
3.24758358815761,8.43381294334324,28.816118968602,1.01974167163041e-07,7.32582678051507e-05,8.78241352290053,"ILMN_1251416","Sh3gl2",1400689
-2.73068125049446,7.11488483480109,-28.7201087038232,1.04044723349224e-07,7.32582678051507e-05,8.76483014172736,"ILMN_1253659","Lamb1",6550082
2.58998716964697,8.06258720229303,28.6397512497141,1.058153984289e-07,7.32582678051507e-05,8.75004652278222,"ILMN_2773624","Hexa",6370379
-3.38442533010965,7.4477399237839,-27.8155094538468,1.26158297180046e-07,8.08358464309199e-05,8.5948066851757,"ILMN_1239627","Chst15",2570435
-2.52917594829916,7.56835784524424,-27.8137866178437,1.26205350726194e-07,8.08358464309199e-05,8.59447518389327,"ILMN_2956448","Creb3l2",1230201
-2.04511119359091,9.11658208348564,-27.7031362186517,1.29270633962265e-07,8.08358464309199e-05,8.57312161339668,"ILMN_2862379","Rhod",1570154
-4.2996043552265,9.76798165797956,-27.5182140641021,1.34589009518253e-07,8.15314984222289e-05,8.53715755681979,"ILMN_2777082","P4ha2",3310537
4.3983837785859,10.2475542900313,27.2392706440107,1.43100992803419e-07,8.40609922877053e-05,8.48224258207365,"ILMN_2776283","Tcea3",3780300
-2.65187310004781,7.38060613200731,-27.0903753475595,1.479003478404e-07,8.43249483201808e-05,8.4525975214883,"ILMN_2440634","Akap5",6660202
-2.13766038879833,7.19739862606453,-26.9024543419465,1.5422754848594e-07,8.54200293542843e-05,8.414847363201,"ILMN_2774049","Amotl2",7160437
3.46815596660491,8.16742996613031,26.6103686833287,1.64698278160368e-07,8.7490152889201e-05,8.35541887646202,"ILMN_2709864","Cbwd1",460672
5.10536734143309,10.3019150610142,26.301011584829,1.76701957568397e-07,8.7490152889201e-05,8.29145739530239,"ILMN_1250149","Dnmt3l",4280100
3.85709719857924,8.48135443762739,26.2990409852672,1.76781620549908e-07,8.7490152889201e-05,8.29104655304537,"ILMN_2879102","Gjb3",6060433
-1.7369117760732,6.84845584269328,-26.2951050534333,1.76940858716215e-07,8.7490152889201e-05,8.29022583653449,"ILMN_1257208","Fgfr3",7200035
2.30927590183362,7.85139038318817,25.8910509154519,1.94213379761628e-07,8.7490152889201e-05,8.2050407066765,"ILMN_1225261","Uchl1",1660215
