"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Galnt171",4.97742656143873e-07,0.52499497831627,0.52,0.286,0.00822718836340208,"V","Galnt17"
"Gng5",5.13033956959012e-07,0.239785626058452,1,1,0.00847993827457551,"V","Gng5"
"Atp6v0e1",5.21467803974865e-07,0.361557492494562,1,0.998,0.00861934133190054,"V","Atp6v0e"
"Pakap1",5.57378822722537e-07,0.665781881236057,0.467,0.247,0.00921291456078081,"V","Pakap"
"Tnik",5.61760958904855e-07,0.409245168540135,0.373,0.157,0.00928534688973835,"V","Tnik"
"Vmn2r-ps159",6.04802518359343e-07,0.0847519875898948,0.053,0.004,0.00999678082596158,"V","Vmn2r-ps159"
"Cntn4",6.33332837411254e-07,0.177432538111254,0.04,0.002,0.0104683584695706,"V","Cntn4"
"Gm2115",6.48297318516796e-07,0.663905175433047,0.387,0.177,0.0107157063777641,"V","Gm2115"
"Gm19689",6.50204673978564e-07,0.124548553999116,0.04,0.002,0.0107472330561917,"V","Gm19689"
"Epas11",6.5105702898196e-07,0.629651318281204,0.4,0.192,0.0107613216320428,"V","Epas1"
"Gm14308",6.58782750764968e-07,0.0718223501506548,0.04,0.002,0.0108890200873942,"V","Gm14308"
"Gm30624",6.71864960158101e-07,0.0534438208358004,0.04,0.002,0.0111052559264532,"V","Gm30624"
