"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"E130307A14Rik",1.1576238234748e-16,0.370628277364838,0.18,0.045,2.14797100445749e-12,"7","E130307A14Rik"
"Nedd4l2",1.17173064695223e-16,0.663381082425995,0.517,0.304,2.17414621541986e-12,"7","Nedd4l"
"Zswim62",1.18113635260825e-16,0.659941586239759,0.523,0.302,2.19159850226461e-12,"7","Zswim6"
"Dtx31",1.18591377247418e-16,0.672931560055688,0.465,0.261,2.20046300482585e-12,"7","Dtx3"
"Brd11",1.2714878034893e-16,0.544995156342655,0.994,0.848,2.35924561937439e-12,"7","Brd1"
"Cox6c1",1.48533090335236e-16,0.315701292602157,1,1,2.75603149117031e-12,"7","Cox6c"
"Asb42",1.52415640428645e-16,0.189652761122168,0.099,0.015,2.82807220815351e-12,"7","Asb4"
"Rhob2",1.61005161325954e-16,0.7064177073825,0.651,0.44,2.98745076840307e-12,"7","Rhob"
"Prkcz1",1.6158714534665e-16,0.325074120006469,0.215,0.06,2.99824948190709e-12,"7","Prkcz"
"Ralgps21",1.65511327324894e-16,0.779150382408134,0.465,0.254,3.07106267851341e-12,"7","Ralgps2"
"Rnf2271",1.68027596298398e-16,0.542884128678618,0.337,0.136,3.11775204931677e-12,"7","Rnf227"
"Nsd32",1.76557849587172e-16,0.515614871997366,0.855,0.671,3.27603089908997e-12,"7","Nsd3"
"Grina2",1.76660331077377e-16,0.63655209434862,0.785,0.588,3.27793244314073e-12,"7","Grina"
"Smarca11",1.83973066078657e-16,0.374668364268304,0.18,0.045,3.41362024108949e-12,"7","Smarca1"
"Ahsa22",1.86953684378205e-16,0.642982505736348,0.738,0.613,3.46892561363759e-12,"7","Ahsa2"
"Ndufa4l2",2.06110830361919e-16,0.718706275274784,0.174,0.041,3.82438645736541e-12,"7","Ndufa4l2"
"Idnk1",2.08550920759742e-16,0.8032698246763,0.634,0.494,3.86966233469701e-12,"7","Idnk"
"Adam11",2.10564623940673e-16,0.115912335668797,0.076,0.009,3.90702659721919e-12,"7","Adam11"
"Snapc3",2.17524111314709e-16,0.751600893756088,0.459,0.255,4.03615988544442e-12,"7","Snapc3"
"Pin42",2.19701026998047e-16,0.613150228422334,0.965,0.894,4.07655255594876e-12,"7","Pin4"
"Csmd3",2.29399698828126e-16,0.123240720553719,0.064,0.006,4.25651141175588e-12,"7","Csmd3"
